2024-09-25;Kola Kid;can't hide your love;ShirohaMyMommy;Extra;584,767;94.42
2024-09-26;Matrix & Futurebound;Magnetic Eyes (feat. Baby Blue);Desperate-kun;Twin Hard;860,916;95.34
2024-09-27;Rise Against;Injection;pishifat;Hard;793,039;97.42
2024-09-28;Agressor Bunx;Tornado (Original Mix);Shadren;Insane;781,275;98.78
2024-09-29;Draper;Set Me Free;Secretpipe;apple's Insane;967,189;98.89
2024-09-30;7_7 feat. kasane vavzed;Yakou;Hinsvar;Insane;699,537;97.05
2024-10-01;AAAA + yadrigg;Sakase Natsuzora, Koi no Hana.;Battle;Extra;838,588;98.41
2024-10-02;HyuN feat. LyuU;Cross Over;Skytuna;Falling Back Into the Abyss;431,426;90.84
2024-10-03;Kola Kid;the Earth is counting on you;h4d0uk3n1;hard;995,734;99.86
2024-10-04;antiPLUR;Speed of Link;ktgster;450 000m/s;24,164;65.59
2024-10-05;Wiklund;Whip the Blip;Ultimate;nullPointLOL's Insane;645,784;96.44
2024-10-06;Thaehan;Chiptune & Baroque;Cris-;Minorsonek's Insane;799,819;96.40
2024-10-07;Kommisar;Chipstream;viptwo;Extra;945,525;99.02
2024-10-08;Kola Kid;can't hide your love;Kert;Can't;950,649;98.28
2024-10-09;Wiklund;Crystal Dimension;Gladi;Insane;80,582;69.76
2024-10-10;Rin;Daishibyo set 14 ~ Sado no Futatsuiwa;Delis;Hard;1,075,998;99.24
2024-10-11;Aki;Wanna Be My Dream;Lortus;Mera's Hard;800,216;98.34
2024-10-12;Shihori;Bamboo Dance;Frostmourne;Hard;1,033,642;99.73
2024-10-13;tsunamix_underground;Period. ~ Seishin no Kousoku to Jiyuu o Tsukamu Jouka;TicClick;Lunatic;568,769;94.12
2024-10-14;Shibayan feat. 3L; Maigo no Echo;kelinimo;The Dulcet Melody of the Armour;804,086;98.06
2024-10-15;A-One feat. Aki;Darkish;- Ex -;Lunatic;394,178;90.42
2024-10-16; Morimori Atsushi;Toono Gensou Monogatari (MRM REMIX);-Syncro;Extra;749,183;98.61
2024-10-17;Omoi;Teo;Kroytz;Dailycare's Hard;1,052,738;98.56
2024-10-18;UNDEAD CORPORATION;Blow;hehe;Hard;635,547;97.38
2024-10-19;Feint & Boyinaband;Time Bomb (feat. Veela);Naitsirk;Hyper;836,120;99.59
2024-10-20;sugosugiii;Times New Roman;Aeril;Insane;604,451;95.81
2024-10-21;siromaru + cranky;conflict;Icekalt;Insane;928,976;99.09
2024-10-22;S3RL;Gatchit (Radio Edit);StarrStyx;handsome's Insane;654,881;96.64
2024-10-23;t+pazolite;cheatreal;caren_sk;Extra;247,622;95.51
2024-10-24;Origami Angel;The Title Track;olc;Hard;845,263;94.85
2024-10-25;Down;Halfslashed;Down;Hard;850,473;96.03
2024-10-26;Annabel;caracol;honne;deluge;778,337;94.84
2024-10-27;HyuN;Grin;ktgster;Insane;939,930;97.93
2024-10-28;YUC'e;macaron moon;Amateurre;nathan's reversal;662,900;96.84
